HRmean,HRmax,HRmin,HalfHourBeforeSleep,DeepSleepBegin,LightSleep,DeepSleep
71,106,52,2021-06-16T23:38:00.000+01:00,2021-06-17T00:47:00.000+01:00,322,213
63,95,48,2021-06-17T23:25:00.000+01:00,2021-06-18T00:51:00.000+01:00,364,181
49,49,49,2021-06-19T01:15:00.000+01:00,2021-06-19T02:27:00.000+01:00,305,127
67,93,55,2021-06-20T00:19:00.000+01:00,2021-06-20T01:23:00.000+01:00,318,182
75,75,75,2021-06-21T02:55:00.000+01:00,2021-06-21T04:03:00.000+01:00,157,98
69,91,55,2021-06-21T23:46:00.000+01:00,2021-06-22T01:40:00.000+01:00,305,199
67,77,63,2021-06-23T23:33:00.000+01:00,2021-06-24T00:20:00.000+01:00,244,160
75,99,68,2021-06-24T23:12:00.000+01:00,2021-06-25T00:25:00.000+01:00,184,97
73,100,55,2021-06-25T23:44:00.000+01:00,2021-06-26T00:48:00.000+01:00,387,162
85,91,79,2021-06-27T01:06:00.000+01:00,2021-06-27T02:21:00.000+01:00,362,115
68,106,56,2021-06-27T23:17:00.000+01:00,2021-06-28T00:29:00.000+01:00,298,235
83,106,63,2021-06-28T23:14:00.000+01:00,2021-06-29T01:43:00.000+01:00,333,183
86,141,74,2021-06-30T03:33:00.000+01:00,2021-06-30T06:05:00.000+01:00,229,31
78,112,55,2021-07-01T00:53:00.000+01:00,2021-07-01T03:41:00.000+01:00,376,139
71,71,71,2021-07-02T02:17:00.000+01:00,2021-07-02T02:47:00.000+01:00,332,113
68,76,55,2021-07-03T00:22:00.000+01:00,2021-07-03T02:28:00.000+01:00,355,106
68,94,55,2021-07-04T00:11:00.000+01:00,2021-07-04T01:23:00.000+01:00,346,194
71,77,66,2021-07-05T02:17:00.000+01:00,2021-07-05T04:50:00.000+01:00,349,75
75,103,55,2021-07-08T00:40:00.000+01:00,2021-07-08T01:41:00.000+01:00,303,152
83,110,70,2021-07-09T01:02:00.000+01:00,2021-07-09T01:45:00.000+01:00,366,192
82,98,70,2021-07-10T03:53:00.000+01:00,2021-07-10T06:53:00.000+01:00,256,88
68,68,68,2021-07-11T05:15:00.000+01:00,2021-07-11T06:38:00.000+01:00,220,79
75,95,71,2021-07-11T23:30:00.000+01:00,2021-07-12T01:06:00.000+01:00,402,215
72,75,67,2021-07-15T02:28:00.000+01:00,2021-07-15T04:09:00.000+01:00,269,78
64,103,48,2021-07-15T23:53:00.000+01:00,2021-07-16T00:41:00.000+01:00,366,224
73,94,55,2021-07-17T00:35:00.000+01:00,2021-07-17T01:47:00.000+01:00,413,149
79,98,63,2021-07-18T03:41:00.000+01:00,2021-07-18T04:37:00.000+01:00,224,110
82,107,65,2021-07-19T01:07:00.000+01:00,2021-07-19T02:04:00.000+01:00,337,187
84,105,66,2021-07-19T23:28:00.000+01:00,2021-07-20T00:39:00.000+01:00,353,240
77,96,55,2021-07-22T01:39:00.000+01:00,2021-07-22T02:41:00.000+01:00,416,129
59,89,50,2021-07-25T21:58:00.000+01:00,2021-07-26T00:27:00.000+01:00,382,209
64,86,58,2021-07-29T00:12:00.000+01:00,2021-07-29T00:51:00.000+01:00,274,237
49,55,48,2021-07-29T23:27:00.000+01:00,2021-07-30T00:07:00.000+01:00,293,202
76,95,63,2021-07-31T02:09:00.000+01:00,2021-07-31T02:40:00.000+01:00,178,149
63,76,51,2021-07-31T23:27:00.000+01:00,2021-07-31T23:57:00.000+01:00,366,191
62,77,53,2021-08-02T00:53:00.000+01:00,2021-08-02T01:55:00.000+01:00,340,180
77,101,49,2021-08-02T23:15:00.000+01:00,2021-08-02T23:45:00.000+01:00,225,273
55,59,54,2021-08-04T00:36:00.000+01:00,2021-08-04T01:24:00.000+01:00,308,140
51,70,48,2021-08-04T23:12:00.000+01:00,2021-08-04T23:42:00.000+01:00,329,163
71,105,59,2021-08-06T01:19:00.000+01:00,2021-08-06T02:00:00.000+01:00,212,136
80,101,55,2021-08-08T04:55:00.000+01:00,2021-08-08T06:12:00.000+01:00,205,19
73,98,56,2021-08-09T02:01:00.000+01:00,2021-08-09T02:40:00.000+01:00,98,46
