HRmean,HRmax,HRmin,HalfHourBeforeSleep,DeepSleepBegin,LightSleep,DeepSleep
78,93,71,2022-04-06T00:50:00.000+01:00,2022-04-06T01:44:00.000+01:00,466,70
82,109,76,2022-04-06T22:24:00.000+01:00,2022-04-07T01:47:00.000+01:00,416,101
74,93,58,2022-04-07T23:28:00.000+01:00,2022-04-07T23:58:00.000+01:00,328,226
72,85,59,2022-04-10T00:08:00.000+01:00,2022-04-10T00:58:00.000+01:00,389,190
70,80,55,2022-04-10T22:49:00.000+01:00,2022-04-11T02:17:00.000+01:00,464,159
49,49,49,2022-04-12T00:43:00.000+01:00,2022-04-12T01:22:00.000+01:00,213,184
73,106,53,2022-04-13T23:35:00.000+01:00,2022-04-14T00:51:00.000+01:00,341,201
83,106,71,2022-04-15T01:49:00.000+01:00,2022-04-15T02:29:00.000+01:00,313,110
73,80,56,2022-04-15T23:25:00.000+01:00,2022-04-15T23:55:00.000+01:00,321,175
59,75,41,2022-04-16T23:30:00.000+01:00,2022-04-17T00:00:00.000+01:00,420,195
53,64,48,2022-04-17T23:29:00.000+01:00,2022-04-18T00:09:00.000+01:00,291,315
51,59,47,2022-04-18T23:27:00.000+01:00,2022-04-19T00:37:00.000+01:00,326,131
59,71,53,2022-04-19T22:44:00.000+01:00,2022-04-19T23:14:00.000+01:00,293,102
58,75,48,2022-04-21T03:15:00.000+01:00,2022-04-21T23:22:00.000+01:00,264,14
74,117,49,2022-04-21T23:17:00.000+01:00,2022-04-21T23:47:00.000+01:00,329,141
70,70,70,2022-04-23T02:57:00.000+01:00,2022-04-23T03:27:00.000+01:00,212,81
78,103,55,2022-04-23T23:11:00.000+01:00,2022-04-24T00:07:00.000+01:00,381,172
84,103,67,2022-04-25T23:43:00.000+01:00,2022-04-26T00:23:00.000+01:00,197,98
87,106,72,2022-04-26T23:10:00.000+01:00,2022-04-27T01:35:00.000+01:00,384,89
51,76,47,2022-04-27T23:08:00.000+01:00,2022-04-27T23:38:00.000+01:00,300,242
