Begin,End,Activity,HRmean,HRmax,HRmin
2020-05-14T05:01:00.000+01:00, 2020-05-14T05:18:00.000+01:00, Light sleep, 57, 62, 52, 
2020-05-14T05:18:00.000+01:00, 2020-05-14T05:30:00.000+01:00, Deep sleep, 48, 51, 45, 
2020-05-14T05:30:00.000+01:00, 2020-05-14T06:02:00.000+01:00, Light sleep, 60, 72, 48, 
2020-05-14T06:02:00.000+01:00, 2020-05-14T06:11:00.000+01:00, Deep sleep, 49, 51, 48, 
2020-05-14T06:11:00.000+01:00, 2020-05-14T06:39:00.000+01:00, Light sleep, 54, 75, 47, 
2020-05-14T06:39:00.000+01:00, 2020-05-14T06:58:00.000+01:00, Deep sleep, 48, 48, 48, 
2020-05-14T06:58:00.000+01:00, 2020-05-14T07:07:00.000+01:00, Light sleep, 48, 48, 48, 
2020-05-14T07:07:00.000+01:00, 2020-05-14T07:16:00.000+01:00, Deep sleep, 51, 51, 51, 
2020-05-14T07:16:00.000+01:00, 2020-05-14T08:01:00.000+01:00, Light sleep, 56, 94, 48, 
2020-05-14T08:01:00.000+01:00, 2020-05-14T08:10:00.000+01:00, Deep sleep, 53, 57, 48, 
2020-05-14T08:10:00.000+01:00, 2020-05-14T09:21:00.000+01:00, Light sleep, 58, 77, 48, 
2020-05-26T05:26:00.000+01:00, 2020-05-26T06:24:00.000+01:00, Light sleep, 49, 70, 42, 
2020-05-26T06:24:00.000+01:00, 2020-05-26T06:50:00.000+01:00, Deep sleep, 50, 55, 48, 
2020-05-26T06:50:00.000+01:00, 2020-05-26T08:18:00.000+01:00, Light sleep, 58, 84, 48, 
2020-05-29T00:35:00.000+01:00, 2020-05-29T01:25:00.000+01:00, Light sleep, 73, 94, 55, 
2020-05-29T01:27:00.000+01:00, 2020-05-29T01:41:00.000+01:00, Light sleep, 58, 58, 58, 
2020-05-29T01:41:00.000+01:00, 2020-05-29T02:02:00.000+01:00, Deep sleep, 47, 48, 47, 
2020-05-29T02:02:00.000+01:00, 2020-05-29T02:21:00.000+01:00, Light sleep, 52, 55, 50, 
2020-05-29T02:21:00.000+01:00, 2020-05-29T02:31:00.000+01:00, Deep sleep, 54, 54, 54, 
2020-05-29T02:31:00.000+01:00, 2020-05-29T03:38:00.000+01:00, Light sleep, 60, 76, 53, 
2020-05-29T03:38:00.000+01:00, 2020-05-29T03:52:00.000+01:00, Deep sleep, 54, 55, 49, 
2020-05-29T03:52:00.000+01:00, 2020-05-29T06:15:00.000+01:00, Light sleep, 58, 85, 49, 
2020-05-29T06:15:00.000+01:00, 2020-05-29T06:28:00.000+01:00, Deep sleep, 56, 57, 54, 
2020-05-29T06:28:00.000+01:00, 2020-05-29T06:57:00.000+01:00, Light sleep, 59, 78, 53, 
2020-05-29T06:57:00.000+01:00, 2020-05-29T07:10:00.000+01:00, Deep sleep, 54, 56, 53, 
2020-05-29T07:10:00.000+01:00, 2020-05-29T08:13:00.000+01:00, Light sleep, 60, 94, 48, 
2020-06-05T04:00:00.000+01:00, 2020-06-05T04:45:00.000+01:00, Light sleep, 69, 75, 63, 
2020-06-08T01:05:00.000+01:00, 2020-06-08T01:27:00.000+01:00, Light sleep, 72, 72, 72, 
2020-06-08T01:27:00.000+01:00, 2020-06-08T01:51:00.000+01:00, Deep sleep, 55, 55, 55, 
2020-06-08T01:51:00.000+01:00, 2020-06-08T03:04:00.000+01:00, Light sleep, 57, 60, 48, 
2020-06-08T03:04:00.000+01:00, 2020-06-08T03:49:00.000+01:00, Deep sleep, 51, 55, 47, 
2020-06-08T03:49:00.000+01:00, 2020-06-08T04:36:00.000+01:00, Light sleep, 62, 78, 47, 
2020-06-08T04:36:00.000+01:00, 2020-06-08T05:07:00.000+01:00, Deep sleep, 54, 59, 47, 
2020-06-08T05:07:00.000+01:00, 2020-06-08T06:31:00.000+01:00, Light sleep, 63, 79, 48, 
2020-06-08T06:31:00.000+01:00, 2020-06-08T06:47:00.000+01:00, Deep sleep, 55, 56, 54, 
2020-06-08T06:47:00.000+01:00, 2020-06-08T07:31:00.000+01:00, Light sleep, 57, 78, 48, 
2020-06-08T07:31:00.000+01:00, 2020-06-08T07:50:00.000+01:00, Deep sleep, 56, 59, 52, 
2020-06-08T07:50:00.000+01:00, 2020-06-08T08:19:00.000+01:00, Light sleep, 56, 75, 48, 
2020-06-16T00:42:00.000+01:00, 2020-06-16T01:51:00.000+01:00, Light sleep, 64, 79, 53, 
2020-06-16T01:51:00.000+01:00, 2020-06-16T02:24:00.000+01:00, Deep sleep, 57, 71, 48, 
2020-06-16T02:24:00.000+01:00, 2020-06-16T02:35:00.000+01:00, Light sleep, 67, 75, 63, 
2020-06-16T02:35:00.000+01:00, 2020-06-16T03:01:00.000+01:00, Deep sleep, null
2020-06-16T03:01:00.000+01:00, 2020-06-16T03:24:00.000+01:00, Light sleep, 54, 64, 48, 
2020-06-16T03:24:00.000+01:00, 2020-06-16T03:44:00.000+01:00, Deep sleep, 56, 75, 53, 
2020-06-16T03:44:00.000+01:00, 2020-06-16T04:05:00.000+01:00, Light sleep, 56, 75, 48, 
2020-06-16T04:05:00.000+01:00, 2020-06-16T04:43:00.000+01:00, Deep sleep, 55, 75, 47, 
