Begin,End,Activity,HRmean,HRmax,HRmin
2022-02-04T02:45:00.000Z, 2022-02-04T03:08:00.000Z, Light sleep, 51, 59, 48, 
2022-02-04T03:08:00.000Z, 2022-02-04T03:21:00.000Z, Deep sleep, 54, 56, 54, 
2022-02-04T03:21:00.000Z, 2022-02-04T03:31:00.000Z, Light sleep, 62, 75, 54, 
2022-02-04T03:31:00.000Z, 2022-02-04T03:43:00.000Z, Deep sleep, 55, 75, 49, 
2022-02-04T03:43:00.000Z, 2022-02-04T04:22:00.000Z, Light sleep, 55, 86, 48, 
2022-02-04T04:22:00.000Z, 2022-02-04T04:48:00.000Z, Deep sleep, 57, 76, 51, 
2022-02-04T04:48:00.000Z, 2022-02-04T05:48:00.000Z, Light sleep, 64, 93, 48, 
2022-02-04T05:48:00.000Z, 2022-02-04T05:58:00.000Z, Deep sleep, 53, 57, 48, 
2022-02-04T05:58:00.000Z, 2022-02-04T06:34:00.000Z, Light sleep, 55, 78, 47, 
2022-02-04T06:34:00.000Z, 2022-02-04T06:50:00.000Z, Deep sleep, 52, 55, 48, 
2022-02-04T06:50:00.000Z, 2022-02-04T08:15:00.000Z, Light sleep, 56, 93, 47, 
2022-02-04T08:15:00.000Z, 2022-02-04T08:26:00.000Z, Deep sleep, 54, 55, 53, 
2022-02-04T08:26:00.000Z, 2022-02-04T09:39:00.000Z, Light sleep, 59, 77, 55, 
2022-02-05T00:27:00.000Z, 2022-02-05T00:29:00.000Z, Light sleep, null
2022-02-05T00:29:00.000Z, 2022-02-05T01:13:00.000Z, Deep sleep, 54, 59, 48, 
2022-02-05T01:13:00.000Z, 2022-02-05T02:23:00.000Z, Light sleep, 59, 85, 49, 
2022-02-05T02:23:00.000Z, 2022-02-05T02:37:00.000Z, Deep sleep, 53, 55, 52, 
2022-02-05T02:37:00.000Z, 2022-02-05T03:37:00.000Z, Light sleep, 58, 78, 48, 
2022-02-05T03:37:00.000Z, 2022-02-05T03:51:00.000Z, Deep sleep, 54, 59, 52, 
2022-02-05T03:51:00.000Z, 2022-02-05T04:01:00.000Z, Light sleep, 60, 79, 53, 
2022-02-05T04:01:00.000Z, 2022-02-05T04:23:00.000Z, Deep sleep, 54, 56, 52, 
2022-02-05T04:23:00.000Z, 2022-02-05T05:16:00.000Z, Light sleep, 58, 74, 48, 
2022-02-05T05:16:00.000Z, 2022-02-05T06:12:00.000Z, Deep sleep, 53, 59, 48, 
2022-02-05T06:12:00.000Z, 2022-02-05T06:53:00.000Z, Light sleep, 60, 85, 47, 
2022-02-05T06:53:00.000Z, 2022-02-05T07:10:00.000Z, Deep sleep, 53, 55, 48, 
2022-02-05T07:10:00.000Z, 2022-02-05T08:28:00.000Z, Light sleep, 57, 94, 47, 
2022-02-05T08:28:00.000Z, 2022-02-05T08:38:00.000Z, Deep sleep, 51, 55, 48, 
2022-02-05T08:38:00.000Z, 2022-02-05T09:04:00.000Z, Light sleep, 62, 74, 51, 
2022-02-06T01:12:00.000Z, 2022-02-06T01:44:00.000Z, Light sleep, 61, 78, 53, 
2022-02-06T01:44:00.000Z, 2022-02-06T02:29:00.000Z, Deep sleep, 49, 78, 48, 
2022-02-06T02:29:00.000Z, 2022-02-06T03:18:00.000Z, Light sleep, 53, 75, 48, 
2022-02-06T03:18:00.000Z, 2022-02-06T03:37:00.000Z, Deep sleep, 50, 55, 48, 
2022-02-06T03:37:00.000Z, 2022-02-06T03:47:00.000Z, Light sleep, 74, 94, 54, 
2022-02-06T03:47:00.000Z, 2022-02-06T04:37:00.000Z, Deep sleep, null
2022-02-06T04:37:00.000Z, 2022-02-06T05:20:00.000Z, Light sleep, 57, 64, 48, 
2022-02-06T05:20:00.000Z, 2022-02-06T05:44:00.000Z, Deep sleep, 49, 56, 48, 
2022-02-06T05:44:00.000Z, 2022-02-06T05:54:00.000Z, Light sleep, 48, 49, 48, 
2022-02-06T05:54:00.000Z, 2022-02-06T06:24:00.000Z, Deep sleep, 50, 59, 48, 
2022-02-06T06:24:00.000Z, 2022-02-06T07:39:00.000Z, Light sleep, 51, 75, 45, 
2022-02-06T07:39:00.000Z, 2022-02-06T07:51:00.000Z, Deep sleep, 51, 63, 48, 
2022-02-06T07:51:00.000Z, 2022-02-06T09:01:00.000Z, Light sleep, 53, 75, 48, 
2022-02-06T09:01:00.000Z, 2022-02-06T09:12:00.000Z, Deep sleep, 55, 75, 49, 
2022-02-06T09:12:00.000Z, 2022-02-06T09:58:00.000Z, Light sleep, 60, 102, 47, 
