Begin,End,Activity,HRmean,HRmax,HRmin
2022-02-07T21:46:00.000Z, 2022-02-07T21:53:00.000Z, Walking,108, 114, 96, 
2022-02-07T23:19:00.000Z, 2022-02-07T23:24:00.000Z, Walking,95, 103, 93, 
2022-02-08T10:10:00.000Z, 2022-02-08T10:20:00.000Z, Walking,76, 83, 71, 
2022-02-08T11:27:00.000Z, 2022-02-08T11:38:00.000Z, Walking,91, 111, 61, 
2022-02-09T12:40:00.000Z, 2022-02-09T12:59:00.000Z, Other,81, 102, 67, 
2022-02-09T19:00:00.000Z, 2022-02-09T19:07:00.000Z, Walking,110, 116, 101, 
2022-02-09T19:22:00.000Z, 2022-02-09T19:27:00.000Z, Walking,81, 98, 77, 
2022-02-09T19:43:00.000Z, 2022-02-09T19:54:00.000Z, Walking,74, 104, 63, 
2022-02-09T20:03:00.000Z, 2022-02-09T20:18:00.000Z, Other,85, 112, 70, 
2022-02-09T21:21:00.000Z, 2022-02-09T21:27:00.000Z, Walking,88, 99, 79, 
2022-02-09T22:53:00.000Z, 2022-02-09T23:07:00.000Z, Other,77, 105, 69, 
2022-02-09T23:15:00.000Z, 2022-02-09T23:22:00.000Z, Walking,89, 100, 80, 
2022-02-10T10:04:00.000Z, 2022-02-10T10:17:00.000Z, Other,86, 116, 74, 
2022-02-10T12:43:00.000Z, 2022-02-10T13:13:00.000Z, Other,79, 104, 70, 
2022-02-10T13:14:00.000Z, 2022-02-10T13:25:00.000Z, Walking,75, 95, 57, 
2022-02-10T14:52:00.000Z, 2022-02-10T15:14:00.000Z, Other,85, 112, 74, 
2022-02-10T15:55:00.000Z, 2022-02-10T16:05:00.000Z, Walking,108, 117, 100, 
2022-02-10T20:05:00.000Z, 2022-02-10T20:09:00.000Z, Walking,86, 103, 69, 
2022-02-11T10:19:00.000Z, 2022-02-11T10:52:00.000Z, Other,84, 105, 71, 
2022-02-11T11:46:00.000Z, 2022-02-11T12:00:00.000Z, Other,76, 90, 73, 
2022-02-11T12:17:00.000Z, 2022-02-11T12:36:00.000Z, Other,81, 100, 56, 
2022-02-11T13:01:00.000Z, 2022-02-11T13:08:00.000Z, Walking,86, 103, 75, 
2022-02-11T15:56:00.000Z, 2022-02-11T16:00:00.000Z, Walking,78, 85, 71, 
2022-02-12T09:56:00.000Z, 2022-02-12T10:04:00.000Z, Walking,73, 78, 67, 
2022-02-12T10:06:00.000Z, 2022-02-12T10:36:00.000Z, Other,84, 104, 72, 
2022-02-12T10:37:00.000Z, 2022-02-12T10:43:00.000Z, Walking,85, 89, 79, 
2022-02-12T10:45:00.000Z, 2022-02-12T10:57:00.000Z, Other,89, 112, 77, 
2022-02-12T12:10:00.000Z, 2022-02-12T12:15:00.000Z, Walking,102, 109, 93, 
2022-02-12T12:29:00.000Z, 2022-02-12T12:36:00.000Z, Walking,97, 108, 82, 
2022-02-12T12:50:00.000Z, 2022-02-12T12:56:00.000Z, Walking,106, 117, 82, 
2022-02-12T14:06:00.000Z, 2022-02-12T14:17:00.000Z, Walking,84, 100, 74, 
2022-02-12T15:11:00.000Z, 2022-02-12T15:15:00.000Z, Walking,89, 101, 71, 
2022-02-12T15:30:00.000Z, 2022-02-12T15:59:00.000Z, Walking,95, 115, 73, 
2022-02-12T16:01:00.000Z, 2022-02-12T16:18:00.000Z, Other,85, 109, 71, 
2022-02-12T16:35:00.000Z, 2022-02-12T16:43:00.000Z, Walking,117, 124, 107, 
2022-02-12T16:50:00.000Z, 2022-02-12T17:08:00.000Z, Walking,96, 127, 54, 
2022-02-12T17:25:00.000Z, 2022-02-12T17:29:00.000Z, Walking,80, 95, 78, 
2022-02-12T17:32:00.000Z, 2022-02-12T18:39:00.000Z, Walking,106, 129, 71, 
2022-02-12T18:40:00.000Z, 2022-02-12T19:06:00.000Z, Other,94, 121, 69, 
2022-02-12T19:59:00.000Z, 2022-02-12T20:17:00.000Z, Walking,107, 116, 80, 
2022-02-13T20:23:00.000Z, 2022-02-13T20:41:00.000Z, Other,92, 119, 71, 
2022-02-14T09:37:00.000Z, 2022-02-14T09:42:00.000Z, Walking,93, 110, 78, 
2022-02-14T10:01:00.000Z, 2022-02-14T10:12:00.000Z, Walking,101, 122, 83, 
2022-02-14T10:30:00.000Z, 2022-02-14T10:34:00.000Z, Walking,112, 118, 97, 
2022-02-14T13:51:00.000Z, 2022-02-14T13:55:00.000Z, Walking,113, 124, 102, 
2022-02-14T15:33:00.000Z, 2022-02-14T15:38:00.000Z, Walking,92, 109, 75, 
2022-02-14T15:39:00.000Z, 2022-02-14T15:48:00.000Z, Walking,108, 119, 81, 
2022-02-14T15:49:00.000Z, 2022-02-14T16:03:00.000Z, Other,89, 117, 72, 
2022-02-14T17:48:00.000Z, 2022-02-14T17:57:00.000Z, Other,82, 96, 71, 
2022-02-14T18:34:00.000Z, 2022-02-14T18:40:00.000Z, Walking,86, 99, 78, 
2022-02-15T11:21:00.000Z, 2022-02-15T11:37:00.000Z, Other,91, 108, 71, 
2022-02-15T11:43:00.000Z, 2022-02-15T12:21:00.000Z, Other,86, 136, 71, 
2022-02-15T13:00:00.000Z, 2022-02-15T13:06:00.000Z, Walking,78, 90, 72, 
2022-02-15T13:36:00.000Z, 2022-02-15T13:55:00.000Z, Other,79, 101, 74, 
2022-02-15T19:24:00.000Z, 2022-02-15T19:31:00.000Z, Walking,89, 106, 74, 
2022-02-15T19:39:00.000Z, 2022-02-15T19:54:00.000Z, Other,87, 103, 76, 
2022-02-16T10:01:00.000Z, 2022-02-16T10:18:00.000Z, Other,90, 107, 75, 
2022-02-16T12:30:00.000Z, 2022-02-16T12:48:00.000Z, Other,89, 115, 69, 
2022-02-16T18:31:00.000Z, 2022-02-16T18:36:00.000Z, Walking,105, 117, 100, 
2022-02-16T18:59:00.000Z, 2022-02-16T19:14:00.000Z, Other,103, 111, 94, 
2022-02-16T19:15:00.000Z, 2022-02-16T19:20:00.000Z, Walking,93, 116, 74, 
2022-02-16T19:57:00.000Z, 2022-02-16T20:01:00.000Z, Walking,81, 90, 72, 
2022-02-16T20:12:00.000Z, 2022-02-16T20:25:00.000Z, Other,77, 97, 71, 
2022-02-16T23:12:00.000Z, 2022-02-16T23:16:00.000Z, Walking,96, 111, 63, 
2022-02-16T23:36:00.000Z, 2022-02-16T23:40:00.000Z, Walking,83, 87, 79, 
2022-02-17T18:38:00.000Z, 2022-02-17T18:59:00.000Z, Walking,116, 140, 98, 
2022-02-17T19:08:00.000Z, 2022-02-17T19:12:00.000Z, Walking,110, 111, 109, 
2022-02-17T19:13:00.000Z, 2022-02-17T19:49:00.000Z, Walking,110, 137, 76, 
2022-02-17T19:55:00.000Z, 2022-02-17T20:02:00.000Z, Walking,99, 113, 73, 
2022-02-17T20:10:00.000Z, 2022-02-17T20:16:00.000Z, Walking,103, 110, 94, 
2022-02-17T20:35:00.000Z, 2022-02-17T20:57:00.000Z, Other,93, 126, 75, 
2022-02-17T20:58:00.000Z, 2022-02-17T21:07:00.000Z, Walking,104, 124, 81, 
2022-02-17T23:50:00.000Z, 2022-02-17T23:59:00.000Z, Other,84, 109, 76, 
2022-02-18T10:17:00.000Z, 2022-02-18T10:23:00.000Z, Walking,86, 101, 75, 
2022-02-18T15:03:00.000Z, 2022-02-18T15:08:00.000Z, Walking,119, 132, 109, 
2022-02-18T16:51:00.000Z, 2022-02-18T17:07:00.000Z, Other,79, 103, 52, 
2022-02-18T17:38:00.000Z, 2022-02-18T17:54:00.000Z, Walking,85, 99, 74, 
2022-02-18T19:41:00.000Z, 2022-02-18T19:56:00.000Z, Other,82, 112, 63, 
2022-02-20T17:03:00.000Z, 2022-02-20T17:08:00.000Z, Walking,92, 104, 88, 
2022-02-20T17:39:00.000Z, 2022-02-20T18:02:00.000Z, Other,88, 109, 55, 
2022-02-20T18:03:00.000Z, 2022-02-20T18:09:00.000Z, Walking,90, 104, 79, 
2022-02-20T18:45:00.000Z, 2022-02-20T19:01:00.000Z, Other,79, 105, 71, 
2022-02-21T08:09:00.000Z, 2022-02-21T08:18:00.000Z, Walking,89, 108, 74, 
2022-02-21T11:49:00.000Z, 2022-02-21T11:55:00.000Z, Walking,104, 114, 87, 
2022-02-21T12:50:00.000Z, 2022-02-21T12:56:00.000Z, Walking,117, 122, 111, 
2022-02-21T15:45:00.000Z, 2022-02-21T16:00:00.000Z, Other,90, 105, 76, 
2022-02-21T19:00:00.000Z, 2022-02-21T19:05:00.000Z, Walking,111, 115, 107, 
2022-02-21T19:30:00.000Z, 2022-02-21T19:36:00.000Z, Walking,96, 104, 88, 
2022-02-22T08:20:00.000Z, 2022-02-22T08:25:00.000Z, Walking,87, 108, 71, 
2022-02-22T11:57:00.000Z, 2022-02-22T12:02:00.000Z, Walking,110, 114, 107, 
2022-02-22T12:30:00.000Z, 2022-02-22T12:35:00.000Z, Walking,99, 120, 79, 
2022-02-22T12:36:00.000Z, 2022-02-22T12:40:00.000Z, Walking,91, 100, 79, 
2022-02-22T12:41:00.000Z, 2022-02-22T12:48:00.000Z, Walking,105, 124, 96, 
2022-02-22T18:30:00.000Z, 2022-02-22T18:37:00.000Z, Walking,99, 116, 86, 
2022-02-22T18:50:00.000Z, 2022-02-22T19:01:00.000Z, Walking,103, 118, 88, 
2022-02-22T19:42:00.000Z, 2022-02-22T19:48:00.000Z, Walking,104, 118, 100, 
2022-02-22T19:49:00.000Z, 2022-02-22T19:56:00.000Z, Walking,85, 116, 75, 
2022-02-22T19:57:00.000Z, 2022-02-22T20:07:00.000Z, Walking,105, 114, 89, 
2022-02-22T20:26:00.000Z, 2022-02-22T20:41:00.000Z, Other,96, 103, 76, 
2022-02-22T23:32:00.000Z, 2022-02-22T23:44:00.000Z, Walking,102, 114, 91, 
2022-02-23T08:19:00.000Z, 2022-02-23T08:33:00.000Z, Other,73, 109, 50, 
2022-02-23T08:52:00.000Z, 2022-02-23T09:00:00.000Z, Walking,94, 110, 69, 
2022-02-23T09:01:00.000Z, 2022-02-23T09:05:00.000Z, Walking,97, 100, 94, 
2022-02-23T09:15:00.000Z, 2022-02-23T09:23:00.000Z, Walking,83, 101, 75, 
2022-02-23T12:02:00.000Z, 2022-02-23T12:06:00.000Z, Walking,86, 93, 78, 
2022-02-23T12:11:00.000Z, 2022-02-23T12:22:00.000Z, Other,94, 107, 77, 
2022-02-23T12:56:00.000Z, 2022-02-23T13:07:00.000Z, Walking,108, 119, 78, 
2022-02-24T08:59:00.000Z, 2022-02-24T09:07:00.000Z, Walking,101, 125, 74, 
2022-02-24T10:17:00.000Z, 2022-02-24T10:22:00.000Z, Walking,102, 115, 84, 
2022-02-24T10:31:00.000Z, 2022-02-24T10:41:00.000Z, Walking,89, 107, 72, 
2022-02-24T10:50:00.000Z, 2022-02-24T11:08:00.000Z, Other,88, 103, 74, 
2022-02-24T12:51:00.000Z, 2022-02-24T13:03:00.000Z, Walking,85, 98, 76, 
2022-02-24T16:34:00.000Z, 2022-02-24T16:50:00.000Z, Other,87, 109, 72, 
2022-02-25T09:33:00.000Z, 2022-02-25T09:37:00.000Z, Walking,77, 78, 76, 
2022-02-25T09:50:00.000Z, 2022-02-25T09:58:00.000Z, Walking,94, 106, 75, 
2022-02-25T13:09:00.000Z, 2022-02-25T13:17:00.000Z, Walking,79, 94, 74, 
2022-02-25T15:49:00.000Z, 2022-02-25T15:58:00.000Z, Walking,97, 120, 75, 
2022-02-25T21:09:00.000Z, 2022-02-25T21:25:00.000Z, Other,91, 111, 78, 
2022-02-25T21:26:00.000Z, 2022-02-25T21:31:00.000Z, Walking,101, 113, 70, 
2022-02-25T23:38:00.000Z, 2022-02-25T23:44:00.000Z, Other,85, 92, 78, 
2022-02-26T10:11:00.000Z, 2022-02-26T10:16:00.000Z, Walking,76, 89, 74, 
2022-02-27T10:20:00.000Z, 2022-02-27T10:24:00.000Z, Walking,83, 86, 78, 
2022-02-27T18:08:00.000Z, 2022-02-27T18:22:00.000Z, Walking,109, 122, 97, 
